 SDSS J094825.55+022735.5   8461.   47.   8.55  .08    .945  .052   5947.   386.  3.375E-04  3.63E-05
 SDSS J114209.83+012607.4   8462.   43.   8.50  .08    .913  .053   6190.   392.  3.659E-04  3.89E-05
 SDSS J145524.63+585421.3   8475.   94.   8.37  .25    .827  .168   6841.  1273.  4.496E-04  1.47E-04
 SDSS J204642.89-053816.7   8479.   54.   8.64  .10   1.002  .061   5521.   466.  2.933E-04  4.21E-05
 SDSS J090525.18+514322.2   8512.   22.   9.00  .01   1.196  .004   3986.    38.  1.554E-04  1.39E-06
 SDSS J234818.16-003713.7   8516.   53.   8.75  .11   1.068  .063   5021.   488.  2.469E-04  4.19E-05
 SDSS J112956.33+013635.5   8518.   69.   8.70  .14   1.039  .083   5246.   637.  2.697E-04  5.68E-05
 SDSS J212858.51-063653.5   8522.   63.   8.36  .13    .820  .088   6892.   663.  4.666E-04  7.60E-05
 SDSS J095053.44+585350.8   8526.   38.   8.35  .08    .813  .054   6944.   409.  4.745E-04  4.75E-05
 SDSS J024449.19-002737.7   8531.   53.   8.55  .11    .945  .071   5947.   530.  3.489E-04  5.36E-05
 SDSS J034553.27-065118.3   8539.   49.   8.76  .11   1.074  .062   4977.   486.  2.452E-04  4.22E-05
 SDSS J002645.52-002531.7   8544.   29.   8.64  .05   1.002  .031   5521.   233.  3.025E-04  2.14E-05
 SDSS J023638.97-074830.4   8553.   42.   8.39  .08    .840  .054   6740.   405.  4.527E-04  4.55E-05
 SDSS J002805.15+142314.6   8563.  100.   8.88  .12   1.138  .060   4467.   499.  1.998E-04  3.53E-05
 SDSS J111548.12+662311.3   8579.   41.   8.55  .08    .945  .052   5948.   386.  3.568E-04  3.95E-05
 SDSS J145104.77+024355.0   8595.   40.   8.97  .04   1.182  .018   4105.   158.  1.712E-04  9.96E-06
 SDSS J153424.85+003756.1   8596.   21.   8.51  .03    .920  .020   6142.   146.  3.835E-04  1.45E-05
 SDSS J140159.52+024511.7   8601.   78.   8.87  .11   1.133  .056   4509.   460.  2.072E-04  3.48E-05
 SDSS J023900.20+001027.3   8604.  104.   8.61  .19    .984  .119   5662.   897.  3.271E-04  8.79E-05
 SDSS J091009.14-000442.0   8604.  119.   7.88  .34    .520  .192   9535.  1970.  9.278E-04  3.32E-04
 SDSS J030335.09+000221.9   8607.   29.   8.59  .05    .971  .032   5757.   238.  3.387E-04  2.34E-05
 SDSS J080333.88+423504.7   8620.   29.   8.16  .07    .688  .046   7950.   377.  6.497E-04  5.28E-05
 SDSS J113725.16-002259.0   8621.   29.   8.48  .05    .900  .033   6289.   247.  4.069E-04  2.64E-05
 SDSS J163750.73+440247.4   8640.   87.   8.58  .19    .965  .120   5804.   907.  3.496E-04  9.52E-05
 SDSS J030601.80-073822.4   8646.  120.   8.48  .28    .900  .185   6289.  1381.  4.116E-04  1.58E-04
 SDSS J031301.41+010558.1   8651.   48.   8.37  .09    .827  .061   6842.   459.  4.883E-04  5.46E-05
 SDSS J120558.55-002740.0   8658.   49.   8.44  .10    .873  .067   6488.   499.  4.405E-04  5.78E-05
 SDSS J030357.52-074158.6   8670.   76.   7.98  .16    .577  .096   8955.   903.  8.438E-04  1.41E-04
 SDSS J152033.60+042451.7   8672.   75.   8.59  .14    .971  .088   5757.   666.  3.490E-04  6.86E-05
 SDSS J153659.45+025149.0   8693.   49.   8.43  .09    .867  .060   6538.   450.  4.546E-04  5.24E-05
 SDSS J172146.48+594008.0   8694.  160.   8.57  .28    .959  .178   5852.  1342.  3.644E-04  1.40E-04
 SDSS J094542.27+605922.0   8699.   60.   8.56  .12    .952  .077   5900.   577.  3.712E-04  6.24E-05
 SDSS J115020.89+025518.0   8709.   45.   8.39  .10    .840  .067   6741.   507.  4.867E-04  6.31E-05
 SDSS J090529.74+011135.3   8718.  124.   7.91  .27    .537  .156   9362.  1551.  9.427E-04  2.59E-04
 SDSS J144159.13+025624.7   8726.  144.   7.96  .34    .565  .202   9071.  1931.  8.884E-04  3.20E-04
 SDSS J121702.97+000804.7   8742.  103.   8.75  .16   1.068  .091   5022.   710.  2.742E-04  6.47E-05
 SDSS J094745.34+022428.4   8750.  158.   8.19  .33    .708  .218   7788.  1761.  6.621E-04  2.52E-04
 SDSS J040457.98-052324.2   8752.   24.   8.36  .06    .820  .040   6894.   306.  5.193E-04  4.05E-05
 SDSS J022426.97-091823.5   8753.  149.   8.81  .18   1.102  .097   4760.   777.  2.477E-04  6.40E-05
 SDSS J091422.26+551124.5   8758.   56.   8.20  .11    .714  .073   7735.   586.  6.554E-04  8.25E-05
 SDSS J150446.23+044143.3   8761.   70.   8.10  .13    .650  .083   8280.   711.  7.522E-04  1.05E-04
 SDSS J080715.87+431943.0   8762.   44.   8.27  .09    .760  .060   7362.   471.  5.949E-04  6.42E-05
 SDSS J010654.65-104315.0   8779.   86.   8.43  .17    .867  .114   6539.   851.  4.729E-04  1.05E-04
 SDSS J034656.04-060201.7   8782.   83.   7.99  .19    .583  .115   8900.  1071.  8.774E-04  1.78E-04
 SDSS J143709.62+014710.4   8788.   95.   8.51  .17    .920  .111   6143.   831.  4.191E-04  9.52E-05
 SDSS J084107.00+473708.1   8805.   18.   8.41  .03    .854  .020   6640.   151.  4.934E-04  1.84E-05
 SDSS J104241.36+641717.0   8808.  203.   8.55  .33    .946  .212   5948.  1592.  3.966E-04  1.76E-04
 SDSS J002918.73+161305.7   8824.  179.   7.80  .45    .478  .238  10024.  2693.  1.134E-03  5.17E-04
 SDSS J113738.37-002721.7   8825.   28.   8.49  .04    .907  .026   6241.   197.  4.399E-04  2.21E-05
 SDSS J084446.74+480602.7   8828.  111.   8.08  .21    .638  .133   8392.  1153.  7.966E-04  1.79E-04
 SDSS J102253.55+010010.4   8833.   65.   8.47  .11    .894  .073   6340.   544.  4.556E-04  6.48E-05
 SDSS J000022.54-105142.2   8836.   67.   8.68  .14   1.027  .084   5337.   643.  3.234E-04  6.81E-05
 SDSS J173540.16+582108.5   8841.  247.   8.45  .40    .880  .266   6439.  1992.  4.717E-04  2.39E-04
 SDSS J000308.33-094147.0   8856.   56.   8.53  .09    .933  .059   6045.   437.  4.186E-04  4.99E-05
 SDSS J164125.22+405406.0   8887.   53.   8.56  .09    .952  .058   5901.   433.  4.044E-04  4.97E-05
 SDSS J030615.74-065826.5   8894.   35.   8.46  .06    .887  .040   6390.   298.  4.757E-04  3.69E-05
 SDSS J113613.59+633152.7   8894.  204.   8.73  .26   1.057  .150   5111.  1167.  3.044E-04  1.11E-04
 SDSS J003725.34+152732.5   8909.   54.   8.46  .08    .887  .053   6390.   397.  4.789E-04  4.79E-05
 SDSS J151833.21-005641.6   8911.   69.   8.13  .15    .670  .097   8117.   814.  7.736E-04  1.31E-04
 SDSS J132045.96+630955.9   8919.   85.   8.93  .08   1.163  .038   4264.   324.  2.142E-04  2.44E-05
 SDSS J114314.73+032239.1   8920.   52.   8.36  .09    .821  .061   6895.   460.  5.605E-04  6.17E-05
 SDSS J150743.63+582442.8   8928.   74.   8.07  .15    .632  .095   8450.   827.  8.448E-04  1.37E-04
 SDSS J013345.89+135553.6   8930.  184.   8.82  .18   1.107  .096   4719.   773.  2.637E-04  6.47E-05
 SDSS J123819.77+005248.2   8947.   73.   8.66  .13   1.015  .079   5429.   602.  3.517E-04  6.65E-05
 SDSS J005438.84-095219.7   8952.   19.   8.30  .03    .781  .020   7207.   156.  6.211E-04  2.16E-05
 SDSS J141839.65+003154.4   8966.   53.   8.37  .10    .827  .067   6844.   510.  5.637E-04  7.07E-05
 SDSS J170144.73+624304.4   8968.    5.   8.46  .01    .887  .007   6390.    50.  4.918E-04  6.55E-06
 SDSS J004427.65+133936.0   8982.  117.   8.14  .33    .676  .214   8063.  1787.  7.880E-04  3.08E-04
 SDSS J010602.96+004717.4   8989.   40.   8.50  .06    .914  .039   6192.   294.  4.662E-04  3.60E-05
 SDSS J001203.75-102130.9   8997.  162.   8.41  .27    .854  .181   6641.  1361.  5.381E-04  1.82E-04
 SDSS J073218.60+370225.2   9006.  132.   8.37  .23    .827  .155   6845.  1173.  5.739E-04  1.63E-04
 SDSS J090538.53+575314.7   9011.  163.   8.27  .27    .761  .181   7364.  1415.  6.659E-04  2.08E-04
 SDSS J024305.81-072835.3   9016.   29.   8.50  .04    .914  .026   6193.   196.  4.719E-04  2.38E-05
 SDSS J172244.48+560819.0   9019.   97.   8.90  .10   1.149  .049   4383.   411.  2.367E-04  3.43E-05
 SDSS J075104.68+430037.4   9021.  108.   8.52  .16    .927  .104   6095.   779.  4.581E-04  9.52E-05
